id; instituição; programa; grau_academico; título; data defesa; link
252; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/RIO CLARO; CIÊNCIAS DA MOTRICIDADE; Doutorado; Controle Postural de Idosos: Efeito da Pertutbação Visual Com o Uso do Sistema Âncora.; 2009-05-01; 
253; Universidade Federal do Amazonas; Ensino de Ciências e Matemática; Mestrado; SITUAÇÕES DIDÁTICAS NA APRENDIZAGEM MATEMÁTICA NA PERSPECTIVA DA CONSTRUÇÃO DO CONHECIMENTO; 2016-12-19; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4920119
254; PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; Afetividade e expressão artística na escola: como os arte-educadores encaram o papel da arte; 2009-01-01; 
255; UNIVERSIDADE ESTADUAL DE PONTA GROSSA; EDUCAÇÃO; Doutorado; Trajetória da Psicologia da Educação no Curso de Pedagogia da UEPG (1962-2012): conformação e consolidação do campo de conhecimento; 2016-12-13; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4181583
256; UNIVERSIDADE FEDERAL DO PARANÁ; EDUCAÇÃO; Doutorado; MEDIAÇÃO PEDAGÓGICA E MEDIAÇÃO TECNOLÓGICA NA EAD: O OLHAR  DO DISCENTE ; 2017-03-29; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5011648
257; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO; Mestrado; A família como contexto de desenvolvimento moral para crianças e adolescentes com Transtorno do Déficit de Atenção e Hiperatividade; 2017-06-28; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5022267
258; UNIVERSIDADE FEDERAL DO PARANÁ; EDUCAÇÃO; Doutorado; O DONO DOS CORPOS, O INCESTO E A TEIA DA VIOLÊNCIA DOMÉSTICA  FAMILIAR NO BRASIL; 2018-04-19; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6327596
259; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO; Mestrado; Tempo, Adolescência e Jogo; 2012-05-01; 
260; CENTRO UNIVERSITÁRIO MOURA LACERDA; EDUCAÇÃO; Mestrado; Operações aritméticas no ciclo I do Ensino Fundamental: um estudo sobre as ideias das crianças; 2013-08-30; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=278423
261; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; CONCEPÇÕES DE APRENDIZAGEM EM RELATÓRIOS DE AVALIAÇÃO; 2012-02-01; 
262; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; INFORMÁTICA NA EDUCAÇÃO; Doutorado; Modalidade 1:1: Tecnologia Individual Possibilitando Redes para Aprendizagem de Fluência Digital.; 2011-04-01; 
263; PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO; EDUCAÇÃO (PSICOLOGIA DA EDUCAÇÃO); Mestrado; Bullying na escola: como crianças lidam e reagem diante de apelidos pejorativos; 2009-10-01; 
264; UNIVERSIDADE FEDERAL DE GOIÁS; QUÍMICA; Mestrado; ROBÓTICA EDUCACIONAL E ENSINO DE QUÍMICA NO CURSO DE ENGENHARIA CIVIL: UMA PERSPECTIVA PARA APRENDIZAGENS COLABORATIVA E COOPERATIVA; 2018-05-28; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6345735
265; Universidade Católica de Brasília; PSICOLOGIA; Mestrado; Teorizando as práticas de atendimento à pessoa com autismo na rede de escolas públicas do Distrito Federal; 2009-03-01; 
266; UNIVERSIDADE FEDERAL DO PARÁ; EDUCAÇÃO; Mestrado; DESVELANDO O TERRITÓRIO DA EDUCAÇÃO INCLUSIVA NA FORMAÇÃO INICIAL DE PROFESSORES DE GEOGRAFIA: os projetos pedagógicos da UFPA e IFPA em análise.; 2012-05-01; 
267; UNIVERSIDADE ESTÁCIO DE SÁ; EDUCAÇÃO; Mestrado; Tecnologias de informação e comunicação como suporte à aprendizagem fundada em autoria; 2012-06-01; 
268; PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO; EDUCAÇÃO; Doutorado; Argumentação no Superior. Universidade: O Local da Razão?; 2013-04-10; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=136916
269; UNIVERSIDADE FEDERAL FLUMINENSE; CIÊNCIAS DA INFORMAÇÃO; Doutorado; Epistemologia da geoinformação: uma análise histórico-crítica; 2009-03-01; 
270; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; GEOGRAFIA; Mestrado; Geografia no Jardim Botânico de Porto Alegre: a aventura do conhecimento; 2014-04-07; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1424130
271; UNIVERSIDADE ESTADUAL DE LONDRINA; EDUCAÇÃO; Mestrado; Os Conflitos Interpessoais e a Construção da Autonomia nas Aulas de Educação Física; 2009-03-01; 
272; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; INFORMÁTICA NA EDUCAÇÃO; Doutorado; Projetos de Conhecimento Acoplados as Tecnologias Digitais para promover a Criatividade em Matemática; 2016-09-01; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4583343
273; UNIVERSIDADE DE SÃO PAULO; ARTES VISUAIS; Mestrado; Oficina de cerâmica : o ensino da arte para alunos com necessidades educacionais especiais; 2009-02-01; 
274; PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO; GEOGRAFIA; Mestrado; Educação geográfica: jogos para o ensino de conceitos; 2011-10-01; 
275; UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO; PSICOLOGIA; Doutorado; Ação, computação, representação: Uma investigação psicogenética sober o desenvolvimento do pensamento computacional; 2014-05-30; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2061429
276; UNIVERSIDADE DE SÃO PAULO; CIÊNCIAS DA REABILITAÇÃO; Doutorado; A constituição da representação pela criança com síndrome de Down; 2010-04-01; 
277; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; CONCEPÇÕES DAS CRIANÇAS SOBRE MÚSICA; 2011-09-01; 
278; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; Educação de pais gestantes: uma pedagogia possível segundo o espiritismo como saber emergente e educação integral do ser humano; 2009-06-01; 
279; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; INTERDISCIPLINARIDADE NA EDUCAÇÃO A DISTÂNCIA: ESTUDO DE CASO NO ÂMBITO DE UM CURSO DE PEDAGOGIA; 2012-02-01; 
280; UNIVERSIDADE FEDERAL DO PARANÁ; EDUCAÇÃO; Doutorado; HABILIDADES COGNITIVAS E METACOGNITIVAS DO ALUNO COM ALTAS HABILIDADES/SUPERDOTAÇÃO NA RESOLUÇÃO DE PROBLEMAS EM MATEMÁTICA; 2013-03-25; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=132111
281; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; GEOGRAFIA; Mestrado; Geografar, alfabetizar com fantoches, é só começar!; 2011-11-01; 
282; UNIVERSIDADE CATOLICA DE PETROPOLIS; PSICOLOGIA; Mestrado; PROTOCOLO DE INTERVENÇÃO NO DESENVOLVIMENTO DAS HABILIDADES PSICOMOTORAS EM AUTISTAS; 2017-08-23; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5191176
283; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/ARARAQUARA; EDUCAÇÃO ESCOLAR; Mestrado; A EDUCAÇÃO MORAL CONSTRUTIVISTA E SUAS CONTRADIÇÕES: UMA LEITURA CRÍTICA; 2015-01-30; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2314694
284; UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( MARÍLIA ); EDUCAÇÃO; Mestrado; A CONSTRUÇÃO DA NOÇÃO DE DIREITO EM ALUNOS DO 3º ANO DO ENSINO FUNDAMENTAL: UMA PESQUISA-AÇÃO NA PERSPECTIVA PIAGETIANA; 2017-03-16; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5041966
285; UNIVERSIDADE DE SÃO PAULO; ENGENHARIA ELÉTRICA; Doutorado; "Desenvolvimento artificial autônomo de um grafo sensório-motor auto-organizável"; 2016-02-02; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3706467
286; UNIVERSIDADE ESTADUAL DE MARINGÁ; EDUCAÇÃO PARA A CIÊNCIA E A MATEMÁTICA; Mestrado; Geometrias na segunda fase do Ensino Fundamental: um estudo apoiado na Epistemoloiga Genética; 2012-03-01; 
287; PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO; TECNOLOGIAS DA INTELIGÊNCIA E DESIGN DIGITAL; Mestrado; A LÓGICA DA DESCOBERTA NOS JOGOS DIGITAIS; 2010-05-01; 
288; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO; Doutorado; Exploração lúdica e afetividade em crianças de creche; 2011-02-01; 
289; UNIVERSIDADE FEDERAL DO CEARÁ; PSICOLOGIA; Mestrado; Correlação Psicogenética do Desenvolvimento da Noção de Tempo na Criança e na Física de Galileu; 2011-03-01; 
290; UNIVERSIDADE FEDERAL DO TOCANTINS; Letras:Ensino de Língua e Literatura; Mestrado; AQUISIÇÃO DO PORTUGUÊS COMO SEGUNDA LÍNGUA PELOS ALUNOS APINAYÉ DA ALDEIA SÃO JOSÉ; 2016-02-23; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3229091
291; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; EDUCAÇÃO; Mestrado; Juízo Moral e violência: a avaliação de situações de violência em crianças e adolescentes do Ensino Fundamental; 2012-08-01; 
292; UNIVERSIDADE FEDERAL DE MINAS GERAIS; MÚSICA; Mestrado; Conexões entre o desenvolvimento cognitivo e o musical: estudo comparativo entre apreciação musical direcionada e não direcionada de crianças de sete a dez anos em escola regular; 2009-03-01; 
293; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; PSICOLOGIA SOCIAL E INSTITUCIONAL; Mestrado; OFICINAS DE CONSTRUÇÃO DE JOGOS DIGITAIS EM ETOYS: APRENDER EM MOVIMENTO; 2014-07-15; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3826625
294; CENTRO UNIVERSITÁRIO RITTER DOS REIS; Design; Mestrado; DESIGN E INCLUSÃO: proposta de diretrizes de acessibilidade para projeto de material didático de matemática  para deficientes visuais; 2014-07-29; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1142034
295; UNIVERSIDADE DO ESTADO DE SANTA CATARINA; ENSINO DE CIÊNCIAS, MATEMÁTICA E TECNOLOGIAS; Mestrado Profissional; CONSTRUÇÃO DO CONCEITO DE NÚMERO NA EDUCAÇÃO INFANTIL: UM CADERNO DIDÁTICO-PEDAGÓGICO PARA PROFESSORES; 2017-06-26; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5020278
296; UNIVERSIDADE SÃO MARCOS; EDUCAÇÃO, ADMINISTRAÇÃO E COMUNICAÇÃO; Mestrado; Políticas Públicas de Avaliação do Ensino Básico e Educação Matemática no Brasil; 2009-01-01; 
297; PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO; DIREITO; Doutorado; Proteção jurídica da criança e do adolescente consumidores de entretenimento: fundamento liberal; 2015-10-28; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2997732
298; UNIVERSIDADE ESTADUAL DE CAMPINAS; EDUCAÇÃO; Doutorado; INTERVENÇÃO PEDAGÓGICA E CONSTRUÇÃO DA COMPETÊNCIA MORAL EM UNIVERSITÁRIOS; 2016-02-19; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3633109
299; PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS; ENSINO; Profissionalizante; PERFIL CONCEITUAL DE VIDA NO PRIMEIRO CICLO DE FORMAÇÃO HUMANA - ELABORAÇÃO DE PROPOSTA METODOLÓGICA DE ENSINO POR INVESTIGAÇÃO; 2009-07-01; 
300; UNIVERSIDADE FEDERAL DE PERNAMBUCO; PSICOLOGIA COGNITIVA; Doutorado; O estilo cognitivo verbal e das imagens objeto/espacial: Três dimensões psicológicas apontando caminhos para a compreensão de aspectos da resolução de problemas matemáticos; 2013-03-07; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=985231
301; UNIVERSIDADE ESTÁCIO DE SÁ; EDUCAÇÃO; Mestrado; REPRESENTAÇÕES SOCIAIS DE PROFESSORES DO ENSINO FUNDAMENTAL SOBRE AFETIVIDADE NA PRÁTICA DOCENTE ; 2017-08-22; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6167874
302; UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( BAURU ); PSICOLOGIA DO DESENVOLVIMENTO E APRENDIZAGEM; Mestrado; CONTINGÊNCIAS DA PRODUÇÃO ACADÊMICA UNIVERSITÁRIA: UMA ANÁLISE COMPORTAMENTALISTA; 2017-07-28; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5046015
303; ESCOLA SUPERIOR DE TEOLOGIA; TEOLOGIA; Mestrado Profissional; A PRÁXIS DO SERVIÇO DE ORIENTAÇÃO EDUCACIONAL REVISITADA SOB A PERSPECTIVA DA TEORIA SISTÊMICA E DO DESENVOLVIMENTO MORAL; 2013-01-15; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=99396
304; UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO; PSICOLOGIA; Mestrado; Um Estudo Sobre o Desenvolvimento Moral em Crianças e Adolescentes com Transtorno de Déficit de Atenção e Hiperatividade (TDAH); 2015-06-25; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3267304
305; UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL; EDUCAÇÃO CIENTÍFICA E MATEMÁTICA; Mestrado Profissional; As dificuldades de implementação de concepções Piagetianas em uma sala de aula real.; 2017-12-06; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6135692
306; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; INFORMÁTICA NA EDUCAÇÃO; Doutorado; O Espaço de Aprendizagem Digital da Matemática: O Aprender a Aprender Por Cooperação; 2012-11-01; 
307; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; Ação docente e moralidade: um estudo com educadores porto-alegrenses; 2009-07-01; 
308; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/ARARAQUARA; EDUCAÇÃO ESCOLAR; Doutorado; A educação escolar e a relação entre o desenvolvimento do pensamento e a aprovação da cultura: a psicologia de A. N. Leontiev como referencia nuclear de análise.; 2009-03-01; 
309; ASSOCIAÇÃO INSTITUTO NACIONAL DE MATEMÁTICA PURA E APLICADA; Matemática em Rede Nacional; Mestrado Profissional; Instrumentos para Desenho Geométrico: Uma Proposta Didática com Fundamentação Teórica e Simulação no Geogebra; 2014-12-05; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2226693
310; UNIVERSIDADE FEDERAL DE PERNAMBUCO; PSICOLOGIA COGNITIVA; Doutorado; Julgamento Moral e Argumentação: uma abordagem dialógica aos processos do desenvolvimento da moralidade; 2009-10-01; 
311; UNIVERSIDADE ESTADUAL DE PONTA GROSSA; História; Mestrado; A educação das relações étnico-raciais através da escuta da história de vida; 2018-09-21; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6598464
312; UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( BAURU ); DOCÊNCIA PARA A EDUCAÇÃO BÁSICA; Mestrado Profissional; O Papel da Generosidade no Desenvolvimento da Moral Numa Escola Waldorf; 2018-02-07; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6322147
313; UNIVERSIDADE FEDERAL DO RIO DE JANEIRO; ENFERMAGEM; Doutorado; Estratégias de Educação em Saúde em Enfermagem: aprendendo para ensinar; 2011-12-01; 
314; CENTRO UNIVERSITÁRIO RITTER DOS REIS; LETRAS; Mestrado; O ATO DE LER NO ENSINO FUNDAMENTAL: DA CONSTRUÇÃO DE SENTIDOS À CONSTITUIÇÃO DO SUJEITO LEITOR; 2015-07-29; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2443905
315; FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO; CIÊNCIAS DA SAÚDE; Doutorado; Uma proposta fenômeno-estrutural para o desenvolvimento humano de 0 a 24 meses; 2017-10-31; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5500826
316; FACULDADE DE TECNOLOGIA E CIÊNCIAS DE SALVADOR; BIOENERGIA; Mestrado Profissional; CONCEPÇÕES E METODOLOGIAS PARA PROMOÇÃO E DIFUSÃO DA BIOENERGIA: UMA EXPERIÊNCIA EDUCATIVA NA ESCOLA PÚBLICA Salvador 2017; 2017-11-07; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5113775
317; UNIVERSIDADE ESTADUAL DO OESTE DO PARANA; ENSINO; Mestrado; INVESTIGAÇÃO SOBRE MATERIAIS MANIPULÁVEIS E JOGOS DE MATEMÁTICA UTILIZADOS POR PROFESSORES NO ENSINO DE CRIANÇAS SURDAS NOS ANOS INICIAIS; 2015-12-17; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3284038
318; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; ENSINO DE MATEMÁTICA; Mestrado Profissional; O Uso de Role Playing Games como Recurso Pedagógico nas Aulas de Matemática; 2014-04-16; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1366113
319; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO; Mestrado; Reflexões acerca das construções cognitivas no autismo: contribuições piagetianas para uma leitura da terapia de troca e desenvolvimento (TED); 2010-09-01; 
320; UNIVERSIDADE ESTADUAL DA PARAIBA; Ensino de Ciências e Matemática; Profissionalizante; Sobre as operações matemáticas e o cálculo mental; 2010-12-01; 
321; UNIVERSIDADE ESTADUAL DE CAMPINAS; EDUCAÇÃO; Doutorado; Educação econômica: um olhar sobre a educação ambiental; 2010-02-01; 
322; FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE; ENSINO DE CIÊNCIAS E MATEMÁTICA; Mestrado; ANALISES DAS DIFICULDADES NA RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS POR ALUNOS DO 5º ANO DO ENSINO FUNDAMENTAL; 2015-03-31; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2462907
323; UNIVERSIDADE ESTADUAL DE CAMPINAS; EDUCAÇÃO; Doutorado; "Representações de violência reveladas por crianças, adoles-centes e suas famílias em situação de risco social: histó-  rias e caminhos de resiliência"; 2011-07-01; 
324; UNIVERSIDADE VEIGA DE ALMEIDA; PSICANÁLISE, SAÚDE E SOCIEDADE; Profissionalizante; Interface Educação / Psicanálise: Considerações sobre a motivação e o fracasso escolar.; 2011-03-01; 
325; UNIVERSIDADE ESTADUAL DE CAMPINAS; EDUCAÇÃO; Doutorado; "A construção da paz como meta do processo educativo"; 2011-11-01; 
326; PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO; EDUCAÇÃO MATEMÁTICA; Profissionalizante; As transformações isométricas no GeoGebra com a motivação Etnomatemática; 2011-04-01; 
327; UNIVERSIDADE ESTADUAL DE CAMPINAS; EDUCAÇÃO; Doutorado; "A práxis ludo-pedagógica do professor da pré-escola"; 2012-12-01; 
328; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; ENSINO DE MATEMÁTICA; Profissionalizante; Numeros complexos e funções de variável complexa no ensino médio uma proposta didática com uso de objeto de aprendizagem; 2012-04-01; 
329; ESCOLA SUPERIOR DE TEOLOGIA; TEOLOGIA; Profissionalizante; A PRÁXIS DO SERVIÇO DE ORIENTAÇÃO EDUCACIONAL REVISITADA SOB A PERSPECTIVA DA TEORIA SISTÊMICA E DO DESENVOLVIMENTO MORAL; 2012-05-01; 
330; CENTRO UNIVERSITÁRIO RITTER DOS REIS; LETRAS; Mestrado; Compreensão Textual: um estudo sobre as formas de representação da leitura em crianças com dificuldades de aprendizagem; 2010-08-01; 
331; UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO; Ensino em Educação Básica; Mestrado Profissional; Tudo muda, o tempo todo no mundo: E o tempo das crianças, ele muda? Como se dá a construção da Noção de Tempo no 5º ano do Ensino Fundamental?; 2016-04-13; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3783147
332; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO EM CIÊNCIAS QUÌMICA DA VIDA E SAÚDE ( UFSM - FURG); Mestrado; Robótica Educacional: socializando e produzindo conhecimentos matemáticos".; 2010-01-01; 
333; ESCOLA SUPERIOR DE TEOLOGIA; TEOLOGIA; Mestrado Profissional; O ALCANCE DA AFETIVIDADE NO ENSINO-APRENDIZAGEM DA MATEMÁTICA NA ADOLESCÊNCIA ; 2018-01-22; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6636059
334; UNIVERSIDADE CATÓLICA DO SALVADOR; FAMÍLIA NA SOCIEDADE CONTEMPORÃNEA; Mestrado; O AFETO DE FAMÍLIA: SUAS CONSEQUÊNCIAS NA APRENDIZAGEM EM UMA ESCOLA PÚBLICA EM SALVADOR; 2016-10-21; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3840755
335; UNIVERSIDADE FEDERAL DE GOIÁS; Performances Culturais; Mestrado; Emoção e afetividade. Arte e Educação, um estudo de caso. O espetáculo Felicidade realizado na escola de tempo integral Professora Maria Nosídia Palmeira das Neves - Goiânia 2014; 2017-12-14; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6305395
336; CENTRO UNIVERSITÁRIO RITTER DOS REIS; LETRAS; Mestrado; Linguagem e o pensamento infantil na obra O Pequeno Príncipe: construção do conceito cativar em atividades de leitura; 2009-06-01; 
337; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO EM CIÊNCIAS QUÌMICA DA VIDA E SAÚDE ( UFSM - FURG); Mestrado; Raciocínio ecológico - moral: Um estudo sobre a caça e a proteção a mamíferos através de dilemas; 2017-08-09; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5051181
338; UNIVERSIDADE DE SÃO PAULO; ARQUITETURA E URBANISMO; Doutorado; Mário Pedrosa e a arquitetura brasileira: autonomia e síntese das artes; 2017-04-24; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5076795
339; CENTRO UNIVERSITÁRIO LA SALLE; EDUCAÇÃO; Mestrado; O ENSINO DE MATEMÁTICA E A PRÁTICA DA LÓGICA DO CÁLCULO: UMA ANÁLISE DA PROPOSTA DE URSULA MARIANNE SIMONS; 2014-12-02; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2001536
340; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; ADMINISTRAÇÃO; Mestrado; EDUCAÇÃO E CONSTRUÇÃO DE CONHECIMENTO: UMA EXPERIÊNCIA NO CURSO DE GRADUAÇÃO EM ADMINISTRAÇÃO; 2015-06-02; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2791609
341; UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO; COGNIÇÃO E LINGUAGEM; Mestrado; A TECNOLOGIA E O DESENVOLVIMENTO COGNITIVO DA CRIANÇA: EXPRESSÕES DE COMPORTAMENTO; 2016-05-09; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=4202196
342; CENTRO UNIVERSITÁRIO MOURA LACERDA; EDUCAÇÃO; Mestrado; Estudo sobre noções de geometria e suas relações com atividades diversificadas na escola.; 2009-06-01; 
